Product,Customer,Cluster,Period,Value
1,1,2,1,0
1,1,2,2,0
1,1,2,3,0
1,1,2,4,2
1,1,2,5,2
1,1,2,6,0
1,1,2,7,0
1,1,2,8,0
1,1,2,9,2
1,1,2,10,0
1,1,2,11,2
1,1,2,12,4
1,1,2,13,0
1,1,2,14,0
1,1,2,15,0
1,1,2,16,2
1,1,2,17,0
1,1,2,18,2
1,1,2,19,4
1,1,2,20,0
1,1,2,21,0
1,1,2,22,0
1,1,2,23,2
1,1,2,24,0
1,1,2,25,2
1,1,2,26,0
1,1,2,27,0
1,1,2,28,0
1,1,2,29,0
1,1,2,30,0
1,2,2,1,0
1,2,2,2,0
1,2,2,3,0
1,2,2,4,0
1,2,2,5,0
1,2,2,6,0
1,2,2,7,0
1,2,2,8,0
1,2,2,9,4
1,2,2,10,0
1,2,2,11,0
1,2,2,12,0
1,2,2,13,0
1,2,2,14,0
1,2,2,15,0
1,2,2,16,4
1,2,2,17,0
1,2,2,18,0
1,2,2,19,0
1,2,2,20,0
1,2,2,21,0
1,2,2,22,0
1,2,2,23,4
1,2,2,24,0
1,2,2,25,0
1,2,2,26,0
1,2,2,27,0
1,2,2,28,0
1,2,2,29,0
1,2,2,30,0
1,3,2,1,0
1,3,2,2,0
1,3,2,3,0
1,3,2,4,2
1,3,2,5,4
1,3,2,6,0
1,3,2,7,0
1,3,2,8,0
1,3,2,9,2
1,3,2,10,0
1,3,2,11,2
1,3,2,12,4
1,3,2,13,0
1,3,2,14,0
1,3,2,15,0
1,3,2,16,2
1,3,2,17,0
1,3,2,18,2
1,3,2,19,4
1,3,2,20,0
1,3,2,21,0
1,3,2,22,0
1,3,2,23,2
1,3,2,24,0
1,3,2,25,2
1,3,2,26,0
1,3,2,27,0
1,3,2,28,0
1,3,2,29,0
1,3,2,30,0
1,4,3,1,0
1,4,3,2,0
1,4,3,3,0
1,4,3,4,0
1,4,3,5,1
1,4,3,6,0
1,4,3,7,0
1,4,3,8,0
1,4,3,9,2
1,4,3,10,0
1,4,3,11,2
1,4,3,12,0
1,4,3,13,0
1,4,3,14,0
1,4,3,15,0
1,4,3,16,0
1,4,3,17,0
1,4,3,18,2
1,4,3,19,0
1,4,3,20,0
1,4,3,21,0
1,4,3,22,0
1,4,3,23,0
1,4,3,24,0
1,4,3,25,0
1,4,3,26,0
1,4,3,27,0
1,4,3,28,0
1,4,3,29,0
1,4,3,30,0
1,5,3,1,0
1,5,3,2,0
1,5,3,3,0
1,5,3,4,0
1,5,3,5,2
1,5,3,6,1
1,5,3,7,0
1,5,3,8,0
1,5,3,9,0
1,5,3,10,1
1,5,3,11,0
1,5,3,12,1
1,5,3,13,0
1,5,3,14,0
1,5,3,15,0
1,5,3,16,0
1,5,3,17,0
1,5,3,18,0
1,5,3,19,0
1,5,3,20,0
1,5,3,21,1
1,5,3,22,0
1,5,3,23,1
1,5,3,24,0
1,5,3,25,0
1,5,3,26,0
1,5,3,27,0
1,5,3,28,0
1,5,3,29,0
1,5,3,30,0
1,6,1,1,0
1,6,1,2,0
1,6,1,3,0
1,6,1,4,0
1,6,1,5,2
1,6,1,6,2
1,6,1,7,1
1,6,1,8,0
1,6,1,9,2
1,6,1,10,1
1,6,1,11,0
1,6,1,12,0
1,6,1,13,2
1,6,1,14,1
1,6,1,15,1
1,6,1,16,2
1,6,1,17,1
1,6,1,18,2
1,6,1,19,0
1,6,1,20,0
1,6,1,21,0
1,6,1,22,1
1,6,1,23,2
1,6,1,24,1
1,6,1,25,2
1,6,1,26,0
1,6,1,27,0
1,6,1,28,0
1,6,1,29,0
1,6,1,30,0
1,7,1,1,0
1,7,1,2,0
1,7,1,3,0
1,7,1,4,0
1,7,1,5,1
1,7,1,6,1
1,7,1,7,2
1,7,1,8,2
1,7,1,9,1
1,7,1,10,1
1,7,1,11,1
1,7,1,12,0
1,7,1,13,2
1,7,1,14,2
1,7,1,15,1
1,7,1,16,1
1,7,1,17,2
1,7,1,18,1
1,7,1,19,2
1,7,1,20,1
1,7,1,21,0
1,7,1,22,2
1,7,1,23,2
1,7,1,24,2
1,7,1,25,2
1,7,1,26,0
1,7,1,27,0
1,7,1,28,0
1,7,1,29,0
1,7,1,30,0
1,8,3,1,0
1,8,3,2,0
1,8,3,3,0
1,8,3,4,0
1,8,3,5,0
1,8,3,6,0
1,8,3,7,0
1,8,3,8,0
1,8,3,9,1
1,8,3,10,0
1,8,3,11,0
1,8,3,12,1
1,8,3,13,0
1,8,3,14,0
1,8,3,15,0
1,8,3,16,0
1,8,3,17,0
1,8,3,18,0
1,8,3,19,0
1,8,3,20,0
1,8,3,21,0
1,8,3,22,0
1,8,3,23,1
1,8,3,24,2
1,8,3,25,1
1,8,3,26,0
1,8,3,27,0
1,8,3,28,0
1,8,3,29,0
1,8,3,30,0
1,9,2,1,0
1,9,2,2,0
1,9,2,3,0
1,9,2,4,4
1,9,2,5,2
1,9,2,6,0
1,9,2,7,0
1,9,2,8,0
1,9,2,9,2
1,9,2,10,4
1,9,2,11,0
1,9,2,12,4
1,9,2,13,0
1,9,2,14,4
1,9,2,15,4
1,9,2,16,2
1,9,2,17,4
1,9,2,18,4
1,9,2,19,2
1,9,2,20,2
1,9,2,21,2
1,9,2,22,4
1,9,2,23,0
1,9,2,24,2
1,9,2,25,0
1,9,2,26,0
1,9,2,27,0
1,9,2,28,0
1,9,2,29,0
1,9,2,30,0
1,10,2,1,0
1,10,2,2,0
1,10,2,3,0
1,10,2,4,0
1,10,2,5,2
1,10,2,6,4
1,10,2,7,0
1,10,2,8,2
1,10,2,9,4
1,10,2,10,0
1,10,2,11,0
1,10,2,12,4
1,10,2,13,4
1,10,2,14,4
1,10,2,15,4
1,10,2,16,2
1,10,2,17,0
1,10,2,18,0
1,10,2,19,4
1,10,2,20,0
1,10,2,21,0
1,10,2,22,0
1,10,2,23,2
1,10,2,24,0
1,10,2,25,2
1,10,2,26,0
1,10,2,27,0
1,10,2,28,0
1,10,2,29,0
1,10,2,30,0
1,11,3,1,0
1,11,3,2,0
1,11,3,3,0
1,11,3,4,0
1,11,3,5,0
1,11,3,6,0
1,11,3,7,0
1,11,3,8,0
1,11,3,9,0
1,11,3,10,0
1,11,3,11,0
1,11,3,12,0
1,11,3,13,0
1,11,3,14,0
1,11,3,15,0
1,11,3,16,0
1,11,3,17,0
1,11,3,18,0
1,11,3,19,0
1,11,3,20,0
1,11,3,21,0
1,11,3,22,0
1,11,3,23,0
1,11,3,24,0
1,11,3,25,0
1,11,3,26,0
1,11,3,27,0
1,11,3,28,0
1,11,3,29,0
1,11,3,30,0
1,12,2,1,0
1,12,2,2,0
1,12,2,3,0
1,12,2,4,2
1,12,2,5,4
1,12,2,6,0
1,12,2,7,0
1,12,2,8,0
1,12,2,9,4
1,12,2,10,0
1,12,2,11,2
1,12,2,12,4
1,12,2,13,0
1,12,2,14,0
1,12,2,15,0
1,12,2,16,4
1,12,2,17,0
1,12,2,18,2
1,12,2,19,4
1,12,2,20,0
1,12,2,21,0
1,12,2,22,0
1,12,2,23,4
1,12,2,24,0
1,12,2,25,2
1,12,2,26,0
1,12,2,27,0
1,12,2,28,0
1,12,2,29,0
1,12,2,30,0
1,13,3,1,0
1,13,3,2,0
1,13,3,3,0
1,13,3,4,0
1,13,3,5,0
1,13,3,6,0
1,13,3,7,0
1,13,3,8,0
1,13,3,9,0
1,13,3,10,0
1,13,3,11,0
1,13,3,12,0
1,13,3,13,0
1,13,3,14,0
1,13,3,15,0
1,13,3,16,0
1,13,3,17,0
1,13,3,18,0
1,13,3,19,0
1,13,3,20,0
1,13,3,21,0
1,13,3,22,0
1,13,3,23,0
1,13,3,24,0
1,13,3,25,0
1,13,3,26,0
1,13,3,27,0
1,13,3,28,0
1,13,3,29,0
1,13,3,30,0
1,14,3,1,0
1,14,3,2,0
1,14,3,3,0
1,14,3,4,0
1,14,3,5,0
1,14,3,6,0
1,14,3,7,0
1,14,3,8,0
1,14,3,9,0
1,14,3,10,0
1,14,3,11,0
1,14,3,12,0
1,14,3,13,0
1,14,3,14,0
1,14,3,15,0
1,14,3,16,0
1,14,3,17,0
1,14,3,18,0
1,14,3,19,0
1,14,3,20,0
1,14,3,21,0
1,14,3,22,0
1,14,3,23,0
1,14,3,24,0
1,14,3,25,0
1,14,3,26,0
1,14,3,27,0
1,14,3,28,0
1,14,3,29,0
1,14,3,30,0
1,15,3,1,0
1,15,3,2,0
1,15,3,3,0
1,15,3,4,0
1,15,3,5,0
1,15,3,6,0
1,15,3,7,0
1,15,3,8,0
1,15,3,9,0
1,15,3,10,0
1,15,3,11,0
1,15,3,12,0
1,15,3,13,0
1,15,3,14,0
1,15,3,15,0
1,15,3,16,0
1,15,3,17,0
1,15,3,18,0
1,15,3,19,0
1,15,3,20,0
1,15,3,21,0
1,15,3,22,0
1,15,3,23,0
1,15,3,24,0
1,15,3,25,0
1,15,3,26,0
1,15,3,27,0
1,15,3,28,0
1,15,3,29,0
1,15,3,30,0
1,16,3,1,0
1,16,3,2,0
1,16,3,3,0
1,16,3,4,0
1,16,3,5,0
1,16,3,6,0
1,16,3,7,0
1,16,3,8,0
1,16,3,9,0
1,16,3,10,0
1,16,3,11,0
1,16,3,12,0
1,16,3,13,0
1,16,3,14,0
1,16,3,15,0
1,16,3,16,0
1,16,3,17,0
1,16,3,18,0
1,16,3,19,0
1,16,3,20,0
1,16,3,21,0
